id,license id,account number,site number,legal name,doing business as name,address,city,state,zip code,ward,precinct,ward precinct,police district,license code,license description,business activity id,business activity,license number,application type,application created date,application requirements complete,payment date,conditional approval,license term start date,license term expiration date,license approved for issuance,date issued,license status,license status change date,ssa,latitude,longitude,location
1542-20160616,2458869,290,1,"PELLETIER ENTERPRISES, INC.",MELLOW YELLOW,1508 E 53RD ST,CHICAGO,IL,60615,4,47,4-47,2,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1542,RENEW,,04/15/2016,05/09/2016,N,06/16/2016,06/15/2018,05/09/2016,05/09/2016,AAI,,61,41.799656205,-87.588735711,"(41.799656205200755, -87.58873571085915)"
1543-20160616,2458870,290,1,"PELLETIER ENTERPRISES, INC.",MELLOW YELLOW,1508 E 53RD ST,CHICAGO,IL,60615,4,47,4-47,2,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1543,RENEW,,04/15/2016,05/09/2016,N,06/16/2016,06/15/2018,05/09/2016,05/09/2016,AAI,,61,41.799656205,-87.588735711,"(41.799656205200755, -87.58873571085915)"
30246-20151016,2419662,2156,11,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CORP #1184,1519 E 53RD ST 1ST,CHICAGO,IL,60615,5,54,5-54,2,1010,Limited Business License,,,30246,RENEW,,08/15/2015,10/02/2015,N,10/16/2015,10/15/2017,10/02/2015,10/05/2015,AAI,,61,41.799440373,-87.588339626,"(41.799440373149224, -87.58833962573384)"
28045-20160616,2458879,2201,1,RESEARCH PROS INC,RESESRCH PROS INC,1525 E 53RD ST,CHICAGO,IL,60615,5,54,5-54,2,1010,Limited Business License,,,28045,RENEW,,04/15/2016,04/29/2016,N,06/16/2016,06/15/2018,04/29/2016,05/02/2016,AAI,,61,41.799441872,-87.588098389,"(41.79944187210379, -87.58809838930625)"
3705-20160616,2458907,2998,1,THE NEW VALOIS REST INC,THE NEW VALOIS REST INC,1518 E 53RD ST  1,CHICAGO,IL,60615,4,47,4-47,2,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,3705,RENEW,,04/15/2016,06/06/2016,N,06/16/2016,06/15/2018,06/06/2016,06/07/2016,AAI,,61,41.7996599,-87.588342062,"(41.799659899582544, -87.5883420623139)"
1517337-20160616,2458936,4595,3,VIDEO CONNECTION OF HYDE PARK,VIDEO CONNECTION OF HYDE PARK,1208 E 53RD ST,CHICAGO,IL,60615,4,1,4-1,2,1010,Limited Business License,,,1517337,RENEW,,04/15/2016,06/02/2016,N,06/16/2016,06/15/2018,06/02/2016,06/02/2016,AAI,,61,41.799570006,-87.596239108,"(41.799570005698875, -87.5962391078313)"
25316-20160616,2459057,10288,1,FREEHLING POT & PAN CO,FREEHLING POT AND PAN CO,1365 E 53RD ST  1,CHICAGO,IL,60615,5,55,5-55,2,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,25316,RENEW,,04/15/2016,05/01/2016,N,06/16/2016,06/15/2018,05/01/2016,05/02/2016,AAI,,61,41.79939208,-87.592527175,"(41.79939207994461, -87.59252717506219)"
1848486-20150916,2413029,12699,20,SPRINTCOM INC.,SPRINT,1406 E 53RD ST 1ST,CHICAGO,IL,60615,4,47,4-47,2,1010,Limited Business License,,,1848486,RENEW,,07/15/2015,09/01/2015,N,09/16/2015,09/15/2017,09/01/2015,09/02/2015,AAI,,61,41.799624855,-87.591460355,"(41.79962485490784, -87.59146035530995)"
36122-20160616,2459177,15188,1,TRUSHAR & ROHITKUMAR PATEL,RAJUN CAJUN,1459 E 53RD ST,CHICAGO,IL,60615,5,54,5-54,2,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,36122,RENEW,,04/15/2016,05/04/2016,N,06/16/2016,06/15/2018,05/04/2016,05/05/2016,AAI,,61,41.79943078,-87.589479335,"(41.79943077995451, -87.58947933531431)"
2469770-20161110,2469770,15538,27,TARGET CORPORATION,TARGET STORE T-3219,1330 E 53RD ST,CHICAGO,IL,60615,4,1,4-1,2,1474,Package Goods,774,Retail Sales of Packaged Liquor,2469770,ISSUE,05/27/2016,09/13/2016,09/13/2016,N,11/10/2016,11/15/2018,11/10/2016,11/10/2016,AAI,,61,41.799597869,-87.593761037,"(41.79959786938958, -87.59376103688076)"
2469768-20161101,2469768,15538,27,TARGET CORPORATION,TARGET STORE T-3219,1330 E 53RD ST,CHICAGO,IL,60615,4,1,4-1,2,1006,Retail Food Establishment,729 | 767 | 766 | 775 | 781,"Pharmacy, Photo Services | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Fresh Fruits and Vegetables | Retail Sales of Perishable Foods | Sale of Food Prepared Onsite With Dining Area",2469768,ISSUE,05/27/2016,09/13/2016,09/22/2016,N,11/01/2016,02/15/2018,11/01/2016,11/01/2016,AAI,,61,41.799597869,-87.593761037,"(41.79959786938958, -87.59376103688076)"
39084-20160616,2459189,15766,1,"KENTADA, INC.",PIZZA CAPRI,1501 E 53RD ST,CHICAGO,IL,60615,5,54,5-54,2,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,39084,RENEW,,04/15/2016,06/01/2016,N,06/16/2016,06/15/2018,06/01/2016,06/02/2016,AAI,,61,41.799434259,-87.589046255,"(41.79943425904436, -87.58904625526527)"
39085-20160616,2459188,15766,1,"KENTADA, INC.",PIZZA CAPRI,1501 E 53RD ST,CHICAGO,IL,60615,5,54,5-54,2,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,39085,RENEW,,04/15/2016,06/01/2016,N,06/16/2016,06/15/2018,06/01/2016,06/02/2016,AAI,,61,41.799434259,-87.589046255,"(41.79943425904436, -87.58904625526527)"
57664-20160616,2459279,18528,1,NATHAN'S CHICAGO STYLE,NATHAN'S CHICAGO STYLE,1372 E 53RD ST,CHICAGO,IL,60615,4,1,4-1,2,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,57664,RENEW,,04/15/2016,05/01/2016,N,06/16/2016,06/15/2018,05/01/2016,05/02/2016,AAI,,61,41.79961533,-87.592298866,"(41.79961532954368, -87.59229886576314)"
2446613-20160216,2446613,21000,24,"AMERICAN MATTRESS, INC.",AMERICAN MATTRESS,1408 E 53RD ST 1ST,CHICAGO,IL,60615,4,47,4-47,2,1010,Limited Business License,904,Retail Sales of General Merchandise,2446613,ISSUE,01/28/2016,02/16/2016,02/16/2016,N,02/16/2016,02/15/2018,02/16/2016,02/16/2016,AAI,,61,41.799625689,-87.59137367,"(41.79962568927282, -87.59137367044976)"
2240917-20151116,2424670,22633,33,"CHIPOTLE MEXICAN GRILL, INC.",CHIPOTLE MEXICAN GRILL #1979,1522 E 53RD ST 1ST,CHICAGO,IL,60615,4,47,4-47,2,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2240917,RENEW,,09/15/2015,11/04/2015,N,11/16/2015,05/15/2017,11/04/2015,11/06/2015,AAI,,61,41.799660793,-87.588198251,"(41.79966079322186, -87.58819825147138)"
2240918-20150516,2386937,22633,33,"CHIPOTLE MEXICAN GRILL, INC.",CHIPOTLE MEXICAN GRILL #1979,1522 E 53RD ST 1ST,CHICAGO,IL,60615,4,47,4-47,2,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2240918,RENEW,,03/15/2015,05/06/2015,N,05/16/2015,05/15/2017,05/07/2015,05/08/2015,AAI,,61,41.799660793,-87.588198251,"(41.79966079322186, -87.58819825147138)"
2240919-20150422,2240919,22633,33,"CHIPOTLE MEXICAN GRILL, INC.",CHIPOTLE MEXICAN GRILL #1979,1522 E 53RD ST 1ST,CHICAGO,IL,60615,4,47,4-47,2,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2240919,ISSUE,03/12/2013,07/16/2013,06/25/2013,Y,04/22/2015,05/15/2017,04/22/2015,04/22/2015,AAI,,61,41.799660793,-87.588198251,"(41.79966079322186, -87.58819825147138)"
84247-20160616,2459526,25282,1,AEGIS PROPERTIES CORPORATION,AEGIS PROPERTIES,1525 E 53RD ST  400,CHICAGO,IL,60615,5,54,5-54,2,1010,Limited Business License,,,84247,RENEW,,04/15/2016,04/25/2016,N,06/16/2016,06/15/2018,04/25/2016,04/26/2016,AAI,,61,41.799441872,-87.588098389,"(41.79944187210379, -87.58809838930625)"
1382555-20160616,2459584,29216,2,POONG S SHIN,CORNELL SHOE SERVICE,1613 E 53RD ST,CHICAGO,IL,60615,5,48,5-48,2,1010,Limited Business License,,,1382555,RENEW,,04/15/2016,06/09/2016,N,06/16/2016,06/15/2018,06/09/2016,06/10/2016,AAI,,61,41.799476154,-87.586005696,"(41.79947615429218, -87.58600569617114)"
2054554-20160916,2478102,29543,2,UNIVERSITY TRAVEL INC.,"UNIVERSITY TRAVEL, INC.",1525 E 53RD ST 1ST 100,CHICAGO,IL,60615,5,54,5-54,2,1010,Limited Business License,,,2054554,RENEW,,07/15/2016,08/05/2016,N,09/16/2016,09/15/2018,08/05/2016,08/08/2016,AAI,,61,41.799441872,-87.588098389,"(41.79944187210379, -87.58809838930625)"
22875-20160616,2459595,29638,1,COMPUTER RESOURCE CENTER INC.,COMPUTER RESOURCE CENTER INC.,1525 E 53RD ST  902,CHICAGO,IL,60615,5,54,5-54,2,1010,Limited Business License,,,22875,RENEW,,04/15/2016,05/16/2016,N,06/16/2016,06/15/2018,05/16/2016,05/17/2016,AAI,,61,41.799441872,-87.588098389,"(41.79944187210379, -87.58809838930625)"
24979-20160616,2459604,30190,1,ALMEDA MC PHERSON,THE MASSAGE THERAPY CENTER,5305 S HARPER AVE 2ND,CHICAGO,IL,60615,5,54,5-54,2,1524,Massage Establishment,704,Massage Establishment,24979,RENEW,,04/15/2016,06/06/2016,N,06/16/2016,06/15/2018,06/06/2016,06/07/2016,AAI,,61,41.799352826,-87.588940051,"(41.79935282572433, -87.58894005149136)"
1942756-20160616,2459615,30500,2,"BETTYE O., INCORPORATED",BETTYE O'S DAY SPA,1424-1428 E 53RD ST  304,CHICAGO,IL,60615,4,47,4-47,2,1524,Massage Establishment,704,Massage Establishment,1942756,RENEW,,04/15/2016,06/07/2016,N,06/16/2016,06/15/2018,06/07/2016,06/08/2016,AAI,,61,41.799633798,-87.590680963,"(41.79963379781992, -87.59068096341123)"
1991726-20160616,2459619,30716,2,EDWARD KIM,DEL PRADO SHIRTS LANDING,5303 S HYDE PARK BLVD 1,CHICAGO,IL,60615,5,11,5-11,2,1010,Limited Business License,648,Dry Cleaning - Drop Off Location,1991726,RENEW,,04/15/2016,05/10/2016,N,06/16/2016,06/15/2018,05/10/2016,05/11/2016,AAI,,,41.799483552,-87.583907039,"(41.79948355156024, -87.58390703882638)"
54160-20160616,2459735,38982,1,KIMBERLY STAMPLEY,STAMP LAYS EXECUTIVE SALON,1371 E 53RD ST 1ST,CHICAGO,IL,60615,5,55,5-55,2,1010,Limited Business License,,,54160,RENEW,,04/15/2016,06/16/2016,N,06/16/2016,06/15/2018,06/16/2016,07/08/2016,AAI,,61,41.799396403,-87.592262272,"(41.79939640256556, -87.59226227207212)"
2469644-20161116,2489690,44897,3,ERIC WILLIAMS,THE SILVER ROOM,1506 E 53RD ST,CHICAGO,IL,60615,4,47,4-47,2,1010,Limited Business License,923,Retail Sales of Jewelry and Jewelry Repair,2469644,RENEW,,09/15/2016,09/26/2016,N,11/16/2016,11/15/2018,09/26/2016,09/27/2016,AAI,,61,41.799655404,-87.588813359,"(41.79965540437079, -87.58881335907215)"
74209-20160616,2459803,46485,1,GAMMARIELLO RX INC,KATSAROS PHARMACY,1521 E 53RD ST 1ST,CHICAGO,IL,60615,5,54,5-54,2,1010,Limited Business License,767 | 729,"Retail Sales of General Merchandise and Non-Perishable Food | Pharmacy, Photo Services",74209,RENEW,,04/15/2016,04/23/2016,N,06/16/2016,06/15/2018,04/23/2016,04/25/2016,AAI,,61,41.799440861,-87.588261094,"(41.79944086116688, -87.5882610942136)"
76975-20160616,2459809,47502,1,FUTONS-N-MORE INC,FUTONS-N-MORE INC,1370 E 53RD ST 1ST,CHICAGO,IL,60615,4,1,4-1,2,1010,Limited Business License,900,Sale of Furniture,76975,RENEW,,04/15/2016,06/14/2016,N,06/16/2016,06/15/2018,06/14/2016,06/15/2016,AAI,,61,41.799613443,-87.592415917,"(41.7996134429161, -87.59241591676637)"
27175-20160616,2459860,53088,1,MARIA GALL,MARIA'S CLOTHING ALTERATIONS,1525 E 53RD ST  823,CHICAGO,IL,60615,5,54,5-54,2,1010,Limited Business License,,,27175,RENEW,,04/15/2016,06/06/2016,N,06/16/2016,06/15/2018,06/06/2016,06/07/2016,AAI,,61,41.799441872,-87.588098389,"(41.79944187210379, -87.58809838930625)"
36489-20160616,2459878,54407,1,JAE S RHEE,KIMBERLY LEE & CO,1529 E 53RD ST 1ST,CHICAGO,IL,60615,5,54,5-54,2,1010,Limited Business License,,,36489,RENEW,,04/15/2016,06/09/2016,N,06/16/2016,06/15/2018,06/09/2016,06/10/2016,AAI,,61,41.799444337,-87.587897734,"(41.79944433742764, -87.58789773400379)"
50198-20160616,2459897,56603,1,JUNG WOO KIM,GOLDEN HANGERS CLEANERS,1314 E 53RD ST 1ST,CHICAGO,IL,60615,4,1,4-1,2,1010,Limited Business License,648,Dry Cleaning - Drop Off Location,50198,RENEW,,04/15/2016,04/23/2016,N,06/16/2016,06/15/2018,04/23/2016,04/25/2016,AAI,,61,41.799590544,-87.594371601,"(41.799590544261044, -87.59437160090127)"
2271563-20150416,2381487,63414,161,STARBUCKS CORPORATION,STARBUCK'S COFFEE #226,1530 E 53RD ST 1 1,CHICAGO,IL,60615,4,47,4-47,2,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2271563,RENEW,,02/15/2015,03/18/2015,N,04/16/2015,04/15/2017,03/18/2015,03/18/2015,AAC,07/29/2016,61,41.799667123,-87.587814524,"(41.79966712287017, -87.58781452378159)"
28311-20160616,2459984,63666,1,"CREMATION SOCIETY OF ILLINOIS, INC",CREMATION SOCIETY OF ILLINOIS,1374 E 53RD ST  1,CHICAGO,IL,60615,4,1,4-1,2,1010,Limited Business License,,,28311,RENEW,,04/15/2016,05/11/2016,N,06/16/2016,06/15/2018,05/11/2016,05/12/2016,AAI,,61,41.799617493,-87.592181349,"(41.79961749250843, -87.59218134892949)"
52401-20150316,2376120,64543,3,GOLD STANDARD ENTERPRISES INC.,BINNY'S EXPRESS,1531 E 53RD ST 1ST,CHICAGO,IL,60615,5,54,5-54,2,1781,Tobacco Retail Over Counter,763,Retail Sale of Tobacco,52401,RENEW,,01/16/2015,02/16/2015,N,03/16/2015,03/15/2017,02/16/2015,02/17/2015,AAI,,61,41.799447843,-87.587800417,"(41.79944784278962, -87.58780041729537)"
52400-20150316,2376121,64543,3,GOLD STANDARD ENTERPRISES INC.,BINNY'S EXPRESS,1531 E 53RD ST 1ST,CHICAGO,IL,60615,5,54,5-54,2,1474,Package Goods,774,Retail Sales of Packaged Liquor,52400,RENEW,,01/16/2015,02/16/2015,N,03/16/2015,03/15/2017,02/16/2015,02/17/2015,AAI,,61,41.799447843,-87.587800417,"(41.79944784278962, -87.58780041729537)"
86322-20160616,2460058,81672,3,BOSTON MARKET CORPORATION,BOSTON MARKET #825,1424 E 53RD ST  MAIN,CHICAGO,IL,60615,4,47,4-47,2,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,86322,RENEW,,04/15/2016,04/29/2016,N,06/16/2016,06/15/2018,04/29/2016,05/02/2016,AAI,,61,41.799633798,-87.590680963,"(41.79963379781992, -87.59068096341123)"
14258-20160316,2444288,85659,39,H&R BLOCK ENTERPRISES LLC,H & R BLOCK TAX SERVICES,1412 E 53RD ST 1ST #,CHICAGO,IL,60615,4,47,4-47,2,1010,Limited Business License,197,Tax Preparation Services,14258,RENEW,,01/15/2016,02/29/2016,N,03/16/2016,03/15/2018,02/29/2016,03/04/2016,AAI,,61,41.79962731,-87.591200152,"(41.799627309643725, -87.59120015180713)"
1044743-20160616,2460124,85998,2,"BRAATEN ENTERPRISES, LTD",BONNE SANTE HEALTH FOODS INC.,1512 E 53RD ST 1,CHICAGO,IL,60615,4,47,4-47,2,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1044743,RENEW,,04/15/2016,05/04/2016,N,06/16/2016,06/15/2018,05/04/2016,09/12/2016,AAI,,61,41.799657917,-87.588578142,"(41.79965791698844, -87.58857814228286)"
61563-20160616,2460128,86350,1,"AMERICASH LOANS, L.L.C.",AMERICASH LOANS LLC,1513 E 53RD ST,CHICAGO,IL,60615,5,54,5-54,2,1010,Limited Business License,,,61563,RENEW,,04/15/2016,05/03/2016,N,06/16/2016,06/15/2018,05/03/2016,05/04/2016,AAI,,61,41.799438398,-87.588574722,"(41.799438397896374, -87.58857472195702)"
52190-20160616,2460183,87026,3,"YEHIA & COMPANY HAIR DESIGN, INC.",YEHIA & COMPANY,1455 E 53RD ST  1ST,CHICAGO,IL,60615,5,54,5-54,2,1010,Limited Business License,,,52190,RENEW,,04/15/2016,05/12/2016,N,06/16/2016,06/15/2018,05/12/2016,09/08/2016,AAI,,61,41.79942883,-87.589640898,"(41.79942882985705, -87.5896408976242)"
1095180-20160616,2460233,208012,1,"THE EAGLE II, INC.",THE FALCON,1603 -1605 E 53RD ST,CHICAGO,IL,60615,5,48,5-48,2,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,1095180,RENEW,,04/15/2016,06/02/2016,N,06/16/2016,06/15/2018,06/02/2016,06/03/2016,AAI,,61,41.799469658,-87.586330988,"(41.79946965773025, -87.58633098847555)"
1120350-20160616,2460239,209819,1,FRAMING BY MARK & OLET LTD,THE GREAT FRAME UP,1418 E 53RD ST  3,CHICAGO,IL,60615,4,47,4-47,2,1010,Limited Business License,,,1120350,RENEW,,04/15/2016,06/23/2016,N,06/16/2016,06/15/2018,06/23/2016,06/24/2016,AAI,,61,41.799629744,-87.590941436,"(41.799629744251135, -87.59094143626464)"
1167744-20160616,2460378,217386,1,E & M DOLLAR INC,JEFFERY DOLLAR STORE,1443 E 53RD ST,CHICAGO,IL,60615,5,54,5-54,2,1010,Limited Business License,,,1167744,RENEW,,04/15/2016,05/17/2016,N,06/16/2016,06/15/2018,05/17/2016,05/18/2016,AAI,,61,41.799421633,-87.590125643,"(41.79942163323843, -87.59012564311584)"
1221071-20160616,2460406,222829,1,RONALD GLEN MURDOCK,RONALD MURDOCK,1525 E 53RD ST 4TH 429,CHICAGO,IL,60615,5,54,5-54,2,1010,Limited Business License,197,Tax Preparation Services,1221071,RENEW,,04/15/2016,06/15/2016,N,06/16/2016,06/15/2018,06/15/2016,06/16/2016,AAI,,61,41.799441872,-87.588098389,"(41.79944187210379, -87.58809838930625)"
1330273-20160616,2460535,257316,1,KAP RYOU,CORNELL DRY CLEANERS,1607 E 53RD ST,CHICAGO,IL,60615,5,48,5-48,2,1010,Limited Business License,648,Dry Cleaning - Drop Off Location,1330273,RENEW,,04/15/2016,05/01/2016,N,06/16/2016,06/15/2018,05/01/2016,05/02/2016,AAI,,61,41.799471973,-87.586201374,"(41.7994719729178, -87.58620137351774)"
2206208-20160616,2460556,260427,1,PETER F MCCARTHY,PETER MCCARTHY,5307 S CORNELL AVE,CHICAGO,IL,60615,5,14,5-14,2,4404,Regulated Business License,724,Other Home Occupations,2206208,RENEW,,04/15/2016,04/29/2016,N,06/16/2016,06/15/2018,04/29/2016,05/02/2016,AAI,,61,41.799340834,-87.585368147,"(41.7993408342723, -87.58536814654524)"
1382730-20160616,2460627,266409,1,CEDARS MEDITERRANEAN KITCHEN LLC,CEDARS MEDITHERRANEAN KITCHEN,1206 E 53RD ST,CHICAGO,IL,60615,4,1,4-1,2,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1382730,RENEW,,04/15/2016,05/13/2016,N,06/16/2016,06/15/2018,05/13/2016,05/16/2016,AAI,,61,41.799569458,-87.596319929,"(41.79956945794282, -87.59631992883017)"
2284503-20160616,2460734,273521,2,NAADIA B DEAN,Naadia B Dean Wellness Studio,1525 E 53RD ST 6 602,CHICAGO,IL,60615,5,54,5-54,2,1010,Limited Business License,767,Retail Sales of General Merchandise and Non-Perishable Food,2284503,RENEW,,04/15/2016,06/14/2016,N,06/16/2016,06/15/2018,06/14/2016,06/15/2016,AAI,,61,41.799441872,-87.588098389,"(41.79944187210379, -87.58809838930625)"
1520287-20160616,2460785,281703,1,DSMT  SERVICES  LLC,THE   UPS  STORE   #1568,1507 E 53RD ST,CHICAGO,IL,60615,5,54,5-54,2,1010,Limited Business License,,,1520287,RENEW,,04/15/2016,06/23/2016,N,06/16/2016,06/15/2018,06/23/2016,06/24/2016,AAI,,61,41.79943588,-87.588810663,"(41.79943587962592, -87.58881066253633)"
1576361-20160616,2460888,287508,1,FLYING PAN LLC,CHANT,1509 E 53RD ST,CHICAGO,IL,60615,5,54,5-54,2,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1576361,RENEW,,04/15/2016,04/24/2016,N,06/16/2016,06/15/2018,04/24/2016,04/25/2016,AAI,,61,41.799436696,-87.588731257,"(41.799436696478615, -87.58873125741623)"
2458260-20160831,2458260,287508,1,FLYING PAN LLC,CHANT,1509 E 53RD ST,CHICAGO,IL,60615,5,54,5-54,2,1481,Caterer's Liquor License,630,Catering of Liquor To Events,2458260,ISSUE,04/04/2016,07/13/2016,06/03/2016,N,08/31/2016,09/15/2018,08/31/2016,08/31/2016,AAI,,61,41.799436696,-87.588731257,"(41.799436696478615, -87.58873125741623)"
1576359-20160616,2460889,287508,1,FLYING PAN LLC,CHANT,1509 E 53RD ST,CHICAGO,IL,60615,5,54,5-54,2,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1576359,RENEW,,04/15/2016,04/24/2016,N,06/16/2016,06/15/2018,04/24/2016,04/25/2016,AAI,,61,41.799436696,-87.588731257,"(41.799436696478615, -87.58873125741623)"
1547606-20160216,2440002,299710,66,"HIGHLAND PARK CVS, L.L.C.",CVS/PHARMACY #5836,1228 E 53RD ST,CHICAGO,IL,60615,4,1,4-1,2,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1547606,RENEW,,12/15/2015,01/08/2016,N,02/16/2016,02/15/2018,01/08/2016,01/08/2016,AAI,,61,41.799577834,-87.595432109,"(41.79957783364987, -87.5954321093407)"
2488276-20160916,2488276,299710,94,"HIGHLAND PARK CVS, L.L.C.",CVS/PHARMACY #17686,1346 E 53RD ST,CHICAGO,IL,60615,4,1,4-1,2,1010,Limited Business License,767 | 904,Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of General Merchandise,2488276,ISSUE,08/30/2016,09/06/2016,09/16/2016,N,09/16/2016,02/15/2018,09/16/2016,09/16/2016,AAI,,61,41.799602744,-87.593152005,"(41.799602743546856, -87.59315200528222)"
