id,license id,account number,site number,legal name,doing business as name,address,city,state,zip code,ward,precinct,ward precinct,police district,license code,license description,business activity id,business activity,license number,application type,application created date,application requirements complete,payment date,conditional approval,license term start date,license term expiration date,license approved for issuance,date issued,license status,license status change date,ssa,latitude,longitude,location
2027065-20160516,2463173,147,102,WALGREEN CO.,WALGREENS #10350,7109 S JEFFERY BLVD,CHICAGO,IL,60649,5,54,5-54,3,1474,Package Goods,774,Retail Sales of Packaged Liquor,2027065,RENEW,,04/19/2016,04/20/2016,N,05/16/2016,05/15/2018,04/19/2016,04/22/2016,AAI,,42,41.765816416,-87.576145475,"(41.76581641580279, -87.57614547516636)"
1766840-20160516,2452841,147,102,WALGREEN CO.,WALGREENS #10350,7109 S JEFFERY BLVD,CHICAGO,IL,60649,5,54,5-54,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1766840,RENEW,,03/15/2016,04/20/2016,N,05/16/2016,05/15/2018,04/20/2016,04/22/2016,AAI,,42,41.765816416,-87.576145475,"(41.76581641580279, -87.57614547516636)"
1766842-20160516,2452840,147,102,WALGREEN CO.,WALGREENS #10350,7109 S JEFFERY BLVD,CHICAGO,IL,60649,5,54,5-54,3,1781,Tobacco Retail Over Counter,763,Retail Sale of Tobacco,1766842,RENEW,,03/15/2016,04/20/2016,N,05/16/2016,05/15/2018,04/20/2016,04/22/2016,AAI,,42,41.765816416,-87.576145475,"(41.76581641580279, -87.57614547516636)"
2476266-20160919,2476266,147,145,WALGREEN CO.,"COMMUNITY, A WALGREENS PHARMACY #16498",2351 E 71ST ST 1 A,CHICAGO,IL,60649,5,54,5-54,3,1010,Limited Business License,709,Miscellaneous Personal Services,2476266,ISSUE,06/23/2016,06/29/2016,07/06/2016,N,09/19/2016,05/15/2018,07/06/2016,07/07/2016,AAI,,42,41.765819975,-87.566961231,"(41.765819975050746, -87.56696123146837)"
1043863-20160416,2447327,2126,50,"FASHION GALLERY, INC.",RAINBOW #643,7131 S JEFFERY BLVD,CHICAGO,IL,60649,5,54,5-54,3,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,1043863,RENEW,,02/15/2016,04/06/2016,N,04/16/2016,04/15/2018,04/06/2016,04/07/2016,AAI,,42,41.765189524,-87.576133104,"(41.765189524327816, -87.57613310396634)"
1740874-20160416,2447338,2126,78,"FASHION GALLERY, INC.",RAINBOW,7131 S JEFFERY BLVD  G,CHICAGO,IL,60649,5,54,5-54,3,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,1740874,RENEW,,02/15/2016,04/06/2016,N,04/16/2016,04/15/2018,04/06/2016,04/07/2016,AAI,,42,41.765189524,-87.576133104,"(41.765189524327816, -87.57613310396634)"
2216424-20150616,2392229,3961,5,"U-HAUL CO. OF ILLINOIS, INC.",U-HAUL SOUTH SHORE MOVING CTR,1650 E 71ST ST  1,CHICAGO,IL,60649,5,21,5-21,3,4404,Regulated Business License,816,Storage or Use of Hazardous Materials,2216424,RENEW,,04/15/2015,05/12/2015,N,06/16/2015,06/15/2017,05/12/2015,05/13/2015,AAI,,42,41.766273548,-87.583973481,"(41.76627354780889, -87.58397348056488)"
2252448-20161216,2493399,3996,1,DEVELOPMENTAL INSTITUTE INC,DEVELOPMENTAL INSTITUTE INC,7037 S STONY ISLAND AVE,CHICAGO,IL,60649,5,21,5-21,3,1023,Children's Services Facility License,820,"Supervision of, and Care for, Children 0-6 Years of Age, During the Day Between 6am-9pm",2252448,RENEW,,10/15/2016,11/16/2016,N,12/16/2016,12/15/2018,12/10/2016,12/12/2016,AAI,,42,41.766830331,-87.585793979,"(41.76683033051137, -87.58579397948077)"
1143063-20151116,2424376,11071,23,"FAMILY DOLLAR, INC.",FAMILY DOLLAR # 4666,2159 E 71ST ST,CHICAGO,IL,60649,5,54,5-54,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1143063,RENEW,,09/15/2015,11/13/2015,N,11/16/2015,11/15/2017,11/13/2015,11/20/2015,AAI,,42,41.766010712,-87.571518746,"(41.76601071201035, -87.57151874606954)"
2146920-20151116,2424377,11071,23,"FAMILY DOLLAR, INC.",FAMILY DOLLAR # 4666,2159 E 71ST ST,CHICAGO,IL,60649,5,54,5-54,3,1781,Tobacco Retail Over Counter,763,Retail Sale of Tobacco,2146920,RENEW,,09/15/2015,11/13/2015,N,11/16/2015,11/15/2017,11/13/2015,11/20/2015,AAI,,42,41.766010712,-87.571518746,"(41.76601071201035, -87.57151874606954)"
