Name,BuildingNumber,Fraction,Street,Unit,City,Zip Code,GeoArea,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,Note,PhoneNumber,Email,Website
24 Hours Gyros & Subs,2058,,E 71st St,St,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-643-4000,,
AP Deli,2025,,E 75th St,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-288-4931,,
Asian Spoon,7042,,S Stony Island Ave,,Chicago,60649,South Shore,Out of Business,Dining,Fast Food,False,,,,
Big Shark,2553,,E 75th St,,Chicago,60649,South Shore,Out of Business,Dining,Fast Food,False,,773-374-9898,,
Burger King,7222,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,,,
Caribbean Jerk & BBQ Pit,1652,,E 79th St,,Chicago,60649,South Shore,Out of Business,Dining,Fast Food,False,,773-734-5799,,
Harold's Chicken Shack,2142,,E 71st St,,Chicago,60649,South Shore,Out of Business,Dining,Fast Food,False,,773-324-9868,,
Church's Chicken,7102,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-684-0993,,
J and J Fish and Chicken,6814,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-256-0100,,
Jamaican Restaurant,2126,,E 71st St,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-363-6855,,
Jeffery Sub,2022,,E 71st St,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-288-0202,,
Joji Gyros,2518,,E 79th St,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-978-4545,,
JR's Jamaican Tropical Cuisine,2200,,E 79th St,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-375-1080,,
Harold's Chicken Shack,7348,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-288-1200,,
KFC,7459,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-643-3636,,
Nadia Fish and Chicken,2704,,E 75th St,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-933-1500,,
New China Express,2101,,E 71st St,Ste H,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-288-0888,,
Nicky's Gyros,7001,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,,,
Papa John's Pizza,2101,,E 71st St,St Ste J,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-288-7272,,
Little Babas,2660,,E 79th St,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-306-2551,,
Pizza Hut,6724,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-947-6770,,
Popeyes Louisiana Kitchen,7444,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,,,
