id,license id,account number,site number,legal name,doing business as name,address,city,state,zip code,ward,precinct,ward precinct,police district,license code,license description,business activity id,business activity,license number,application type,application created date,application requirements complete,payment date,conditional approval,license term start date,license term expiration date,license approved for issuance,date issued,license status,license status change date,ssa,latitude,longitude,location
1678307-20160516,2452828,147,95,WALGREEN CO.,WALGREENS # 01101,1533 E 67TH ST,CHICAGO,IL,60637,5,5,5-5,3,1781,Tobacco Retail Over Counter,763,Retail Sale of Tobacco,1678307,RENEW,,03/15/2016,04/20/2016,N,05/16/2016,05/15/2018,04/20/2016,04/22/2016,AAI,,42,41.773212549,-87.587413752,"(41.77321254866894, -87.58741375166969)"
1678305-20160516,2452829,147,95,WALGREEN CO.,WALGREENS # 01101,1533 E 67TH ST,CHICAGO,IL,60637,5,5,5-5,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1678305,RENEW,,03/15/2016,04/20/2016,N,05/16/2016,05/15/2018,04/20/2016,04/22/2016,AAI,,42,41.773212549,-87.587413752,"(41.77321254866894, -87.58741375166969)"
1766840-20160516,2452841,147,102,WALGREEN CO.,WALGREENS #10350,7109 S JEFFERY BLVD,CHICAGO,IL,60649,5,54,5-54,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1766840,RENEW,,03/15/2016,04/20/2016,N,05/16/2016,05/15/2018,04/20/2016,04/22/2016,AAI,,42,41.765816416,-87.576145475,"(41.76581641580279, -87.57614547516636)"
1766842-20160516,2452840,147,102,WALGREEN CO.,WALGREENS #10350,7109 S JEFFERY BLVD,CHICAGO,IL,60649,5,54,5-54,3,1781,Tobacco Retail Over Counter,763,Retail Sale of Tobacco,1766842,RENEW,,03/15/2016,04/20/2016,N,05/16/2016,05/15/2018,04/20/2016,04/22/2016,AAI,,42,41.765816416,-87.576145475,"(41.76581641580279, -87.57614547516636)"
2027065-20160516,2463173,147,102,WALGREEN CO.,WALGREENS #10350,7109 S JEFFERY BLVD,CHICAGO,IL,60649,5,54,5-54,3,1474,Package Goods,774,Retail Sales of Packaged Liquor,2027065,RENEW,,04/19/2016,04/20/2016,N,05/16/2016,05/15/2018,04/19/2016,04/22/2016,AAI,,42,41.765816416,-87.576145475,"(41.76581641580279, -87.57614547516636)"
2476266-20160919,2476266,147,145,WALGREEN CO.,"COMMUNITY, A WALGREENS PHARMACY #16498",2351 E 71ST ST 1 A,CHICAGO,IL,60649,5,54,5-54,3,1010,Limited Business License,709,Miscellaneous Personal Services,2476266,ISSUE,06/23/2016,06/29/2016,07/06/2016,N,09/19/2016,05/15/2018,07/06/2016,07/07/2016,AAI,,42,41.765819975,-87.566961231,"(41.765819975050746, -87.56696123146837)"
1000572-20160316,2443505,259,37,"JEWEL FOOD STORES, INC.",JEWEL FOOD STORE #3030,7530 S STONY ISLAND AVE,CHICAGO,IL,60649,8,50,8-50,4,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1000572,RENEW,,01/15/2016,01/20/2016,N,03/16/2016,03/15/2018,01/20/2016,01/25/2016,AAI,,42,41.757805659,-87.586268258,"(41.75780565854321, -87.58626825801873)"
1546-20161216,2493363,291,1,"S & K FOOD & LIQUOR, INC.","S & K FOOD & LIQUOR, INC.",7500 S EXCHANGE AVE,CHICAGO,IL,60649,7,28,7-28,4,1474,Package Goods,774,Retail Sales of Packaged Liquor,1546,RENEW,,10/15/2016,11/08/2016,N,12/16/2016,12/15/2018,11/08/2016,12/13/2016,AAI,,49,41.758992762,-87.560377811,"(41.75899276178537, -87.56037781077926)"
1544-20161216,2493361,291,1,"S & K FOOD & LIQUOR, INC.","S & K FOOD & LIQUOR, INC.",7500 S EXCHANGE AVE,CHICAGO,IL,60649,7,28,7-28,4,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1544,RENEW,,10/15/2016,11/08/2016,N,12/16/2016,12/15/2018,11/08/2016,12/13/2016,AAI,,49,41.758992762,-87.560377811,"(41.75899276178537, -87.56037781077926)"
1547-20161216,2493362,291,1,"S & K FOOD & LIQUOR, INC.","S & K FOOD & LIQUOR, INC.",7500 S EXCHANGE AVE,CHICAGO,IL,60649,7,28,7-28,4,1781,Tobacco Retail Over Counter,763,Retail Sale of Tobacco,1547,RENEW,,10/15/2016,11/08/2016,N,12/16/2016,12/15/2018,11/08/2016,12/13/2016,AAI,,49,41.758992762,-87.560377811,"(41.75899276178537, -87.56037781077926)"
5233-20160716,2465010,1801,4,"WSKC DIALYSIS SERVICES, INC",JACKSON PARK DIALYSIS CENTER,7531 S STONY ISLAND AVE  1ST,CHICAGO,IL,60649,8,20,8-20,4,1010,Limited Business License,,,5233,RENEW,,05/15/2016,07/12/2016,N,07/16/2016,07/15/2018,07/12/2016,07/13/2016,AAI,,42,41.757815422,-87.585569222,"(41.757815422071765, -87.58556922151126)"
